Customer_ID,Age,Income,Loan_Amount,Credit_Score,Loan_Term,Default_Status
CUST00001,59,162972,46792,685,24,No
CUST00002,49,145992,85210,765,72,No
CUST00003,35,98059,55613,688,48,No
CUST00004,63,19881,38927,674,60,No
CUST00005,28,150702,5386,691,36,No
CUST00006,41,38789,97153,651,24,Yes
CUST00007,59,144083,77728,695,36,No
CUST00008,39,106059,81281,650,36,No
CUST00009,43,64151,35020,613,36,No
CUST00010,31,127388,47678,674,36,No
CUST00011,31,21262,91695,673,36,No
CUST00012,44,84981,66394,821,36,No
CUST00013,56,138951,73945,620,72,No
CUST00014,60,141099,61414,668,36,No
CUST00015,44,99972,59816,661,48,Yes
CUST00016,23,93485,60918,646,36,Yes
CUST00017,42,72722,96281,718,36,No
CUST00018,22,107499,67694,848,24,No
CUST00019,44,179004,34455,656,48,No
CUST00020,64,24901,43735,719,36,No
CUST00021,50,135473,99702,537,12,No
CUST00022,58,26597,98608,650,60,Yes
CUST00023,22,147631,17109,797,24,No
CUST00024,41,81909,50802,676,36,No
CUST00025,53,90391,73020,718,36,No
CUST00026,32,157335,39622,633,36,No
CUST00027,42,81293,7597,699,48,No
CUST00028,64,174877,45597,802,48,No
CUST00029,45,29874,45954,593,36,No
CUST00030,47,104402,74519,844,12,No
CUST00031,62,32079,61115,564,60,No
CUST00032,48,90779,48151,644,36,No
CUST00033,36,113408,22040,617,60,No
CUST00034,35,158090,49772,660,36,No
CUST00035,64,138606,68832,616,48,No
CUST00036,23,138062,32916,611,60,Yes
CUST00037,57,30100,49871,591,48,No
CUST00038,27,75021,31372,728,36,No
CUST00039,41,168872,66707,662,48,Yes
CUST00040,29,146126,44080,643,48,No
CUST00041,59,110446,47722,701,48,No
CUST00042,38,47437,34048,568,24,No
CUST00043,24,169014,90205,703,48,Yes
CUST00044,45,38862,14777,673,24,No
CUST00045,34,29669,59711,675,12,Yes
CUST00046,29,139219,41331,719,48,No
CUST00047,46,33916,25968,803,24,No
CUST00048,22,28878,58969,704,60,No
CUST00049,40,20985,16292,665,60,Yes
CUST00050,48,59235,45794,591,60,Yes
CUST00051,27,36931,84459,501,48,Yes
CUST00052,64,110876,55192,690,36,No
CUST00053,28,18336,32703,586,36,No
CUST00054,55,60933,89193,489,36,Yes
CUST00055,34,63536,74165,654,24,Yes
CUST00056,37,87504,72650,698,36,No
CUST00057,56,117214,61516,736,48,No
CUST00058,60,131936,96110,760,24,No
CUST00059,24,34279,27257,746,36,No
CUST00060,22,121751,88509,748,60,Yes
CUST00061,26,122433,96273,570,24,Yes
CUST00062,62,89386,56672,669,36,No
CUST00063,24,104124,68308,723,12,Yes
CUST00064,49,123750,82583,683,48,No
CUST00065,38,95485,27113,668,48,No
CUST00066,46,92055,5694,682,48,No
CUST00067,64,109911,20588,698,24,No
CUST00068,54,116618,66756,674,48,No
CUST00069,30,131892,69085,617,48,No
CUST00070,56,89128,66142,552,36,Yes
CUST00071,34,167180,69373,665,36,No
CUST00072,51,70495,90603,684,48,Yes
CUST00073,35,100806,11704,683,36,No
CUST00074,28,111185,45136,751,48,No
CUST00075,34,67649,72507,765,24,No
CUST00076,43,113402,52361,672,48,Yes
CUST00077,60,48676,63847,673,36,No
CUST00078,41,82093,16441,723,36,No
CUST00079,36,97414,19677,712,36,No
CUST00080,65,111095,32818,647,60,Yes
CUST00081,38,90307,6868,729,60,No
CUST00082,44,113432,88591,669,48,No
CUST00083,46,49923,72264,671,48,No
CUST00084,45,135449,78168,713,12,No
CUST00085,65,65574,17043,657,60,No
CUST00086,61,139757,76939,687,36,No
CUST00087,49,71664,20732,702,36,No
CUST00088,35,85384,60244,741,24,Yes
CUST00089,65,49027,23526,736,12,No
CUST00090,21,52485,14340,700,12,Yes
CUST00091,45,168528,27394,484,24,No
CUST00092,27,53554,9102,698,12,No
CUST00093,29,64922,24159,710,60,No
CUST00094,44,31409,70092,725,36,No
CUST00095,21,54639,11212,608,36,No
CUST00096,64,37692,42405,521,60,Yes
CUST00097,28,107037,82061,740,24,Yes
CUST00098,44,36074,99296,588,60,Yes
CUST00099,31,164621,60186,772,48,No
CUST00100,37,47963,49239,637,36,No
CUST00101,28,70265,97993,603,24,No
CUST00102,55,34061,15532,706,24,No
CUST00103,55,177882,84054,726,36,No
CUST00104,53,131502,77012,722,24,Yes
CUST00105,25,40800,90279,718,36,No
CUST00106,62,134192,71540,627,12,Yes
